               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  75,            0.018843,            0.018776,           0.0011229,             0.73541,             0.73571,             0.62755,             0.38787,            0.032598,            0.013371,          0.00057099,           0.0024195,           0.0024195,           0.0024195
                  76,            0.021148,            0.024516,           0.0015883,              0.7581,             0.77143,             0.68482,             0.37446,            0.032762,            0.012847,          0.00031893,            0.002318,            0.002318,            0.002318
                  77,            0.021331,            0.023236,           0.0010772,             0.72831,             0.73571,              0.6395,             0.37611,            0.033782,            0.012452,           0.0003444,           0.0022196,           0.0022196,           0.0022196
                  78,            0.020175,            0.024247,           0.0012892,             0.74276,             0.74286,             0.63953,             0.38981,            0.033267,            0.013188,          0.00033799,           0.0021245,           0.0021245,           0.0021245
                  79,            0.019881,            0.018373,            0.001094,             0.73214,             0.73929,             0.64003,             0.39797,            0.033601,            0.012771,          0.00024579,           0.0020327,           0.0020327,           0.0020327
                  80,            0.018342,            0.019103,          0.00081286,             0.73541,             0.74286,             0.63828,             0.40538,            0.031929,            0.012203,          0.00021956,           0.0019443,           0.0019443,           0.0019443
                  81,            0.020873,            0.026049,           0.0011573,             0.74638,             0.74643,             0.64562,             0.38877,            0.033295,            0.012686,          0.00026054,           0.0018594,           0.0018594,           0.0018594
                  82,            0.018234,            0.021491,           0.0010915,             0.74274,             0.74286,             0.64063,             0.39152,            0.032873,            0.012558,          0.00047694,           0.0017781,           0.0017781,           0.0017781
                  83,            0.019092,            0.019201,           0.0011076,             0.74623,             0.74643,             0.64263,             0.38233,             0.03217,            0.012848,          0.00039896,           0.0017005,           0.0017005,           0.0017005
                  84,            0.018403,            0.024962,           0.0010169,             0.73891,             0.73929,             0.63313,             0.36815,            0.033209,            0.013161,          0.00037086,           0.0016267,           0.0016267,           0.0016267
                  85,            0.019533,            0.024676,           0.0011638,              0.7352,             0.73571,             0.63563,             0.37344,            0.033461,            0.013357,          0.00052828,           0.0015566,           0.0015566,           0.0015566
                  86,            0.020101,            0.017648,          0.00068213,             0.73188,             0.73214,             0.62622,             0.36946,            0.033328,            0.013479,          0.00042881,           0.0014905,           0.0014905,           0.0014905
                  87,            0.019535,            0.022564,          0.00091347,             0.73545,             0.73571,             0.62854,             0.36824,            0.033277,            0.013751,          0.00034521,           0.0014283,           0.0014283,           0.0014283
                  88,            0.017715,            0.019753,          0.00084282,             0.74215,             0.74286,             0.63726,             0.38764,            0.032613,            0.013376,          0.00043903,           0.0013701,           0.0013701,           0.0013701
